Common name,Scientific name,Population,Taxon,Range,COSEWIC status,Schedule,SARA status
Caspian Tern,Sterna caspia,,Birds,"Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Not at Risk,,
Central Stoneroller,Campostoma anomalum,,Fishes,Ontario,Not at Risk,,
Cerulean Warbler,Setophaga cerulea,,Birds,"Ontario, Quebec",Endangered,Schedule 1,Special Concern
Chain Pickerel,Esox niger,,Fishes,"Quebec, New Brunswick, Nova Scotia",Not at Risk,,
Channel Darter,Percina copelandi,,Fishes,"Ontario, Quebec",Threatened,Schedule 1,Threatened
Cherry Birch,Betula lenta,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Chestnut Lamprey,Ichthyomyzon castaneus,,Fishes,"Saskatchewan, Manitoba",Non-active,Schedule 3,Special Concern
Chestnut-collared Longspur,Calcarius ornatus,,Birds,"Alberta, Saskatchewan, Manitoba",Threatened,Schedule 1,Threatened
Chimney Swift,Chaetura pelagica,,Birds,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador",Threatened,Schedule 1,Threatened
Chinook Salmon,Oncorhynchus tshawytscha,Okanagan population,Fishes,"British Columbia, Pacific Ocean",Threatened,No schedule,No Status
Chiselmouth,Acrocheilus alutaceus,,Fishes,British Columbia,Not at Risk,,
Cliff Paintbrush,Castilleja rupicola,,Vascular Plants,British Columbia,Threatened,Schedule 1,Threatened
Climbing Prairie Rose,Rosa setigera,,Vascular Plants,Ontario,Special Concern,Schedule 1,Special Concern
Coast Manroot,Marah oregana,,Vascular Plants,British Columbia,Endangered,No schedule,No Status
Coast Microseris,Microseris bigelovii,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Coastal Giant Salamander,Dicamptodon tenebrosus,,Amphibians,British Columbia,Threatened,Schedule 1,Threatened
Coastal Scouler's Catchfly,Silene scouleri ssp. grandis,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Coastal Tailed Frog,Ascaphus truei,,Amphibians,British Columbia,Special Concern,Schedule 1,Special Concern
Coastal Wood Fern,Dryopteris arguta,,Vascular Plants,British Columbia,Special Concern,Schedule 1,Special Concern
